id,site,article_id,article_title,block_id,block_type,slot_type,role,anchor_text,url,regions,protected
aethelgem:7:26:0,aethelgem,7,Linbsunne Ballpoint Pens: Super Soft Grip & Quick-Drying Ink — Are They Worth It?,26,product_card,component,,Linbsunne Ballpoint Pens Black Medium Point 1mm Pen with Super Soft Grip Ball Point Pen for Men Women Retractable Pens (gold-12 pcs),https://www.amazon.com/dp/B0C73JDN4S?tag=aethelgem2026-20,,0
aethelgem:8:44:0,aethelgem,8,"Cuisinart C77SS-15PK: Great Value, but Are These Hollow Handles Really Built to Last?",44,product_card,component,,"Cuisinart 15-Piece Stainless Steel Hollow Handle Block Set, C77SS-15PK",https://www.amazon.com/dp/B00GIBKC3K?tag=aethelgem2026-20,,0
aethelgem:9:62:0,aethelgem,9,Wheat Thins Original (20 oz): The Party Size Paradox — Worth the Crumbles?,62,product_card,component,,"Wheat Thins Original Snacks, Whole Grain Wheat Crackers, Snack Crackers, Party Size, 20 oz",https://www.amazon.com/dp/B08LWYX3B2?tag=aethelgem2026-20,,0
aethelgem:10:79:0,aethelgem,10,Logitech MK270: Mushy Keys & Flimsy Feel — Is This Budget Combo Still Worth It?,79,product_card,component,,"Logitech MK270 Wireless Keyboard and Mouse Set, 2.4 GHz Wireless Connection via Nano USB Receiver, Long Battery Life, for Windows and ChromeOS PCs/laptops, German QWERTZ Layout - blac",https://www.amazon.de/dp/B00BCE30RS?tag=aethelgem2026-20,,0
aethelgem:50:1244:0,aethelgem,50,Best Outdoor & Travel Gear for 2026: Expert-Tested Picks,1244,product_card,component,,"Bored Paracord - 1', 10', 25', 50', 100' Hanks & 250', 1000' Spools of Parachute 550 Cord Type III 7 Strand Paracord Well Over 300 Colors - Tutti Fruiti - 100 Feet",https://www.amazon.com/dp/B076FKGQJR?tag=aethelgem2026-20,,0
aethelgem:50:1248:0,aethelgem,50,Best Outdoor & Travel Gear for 2026: Expert-Tested Picks,1248,product_card,component,,"TANG 20' x 20' Sun Shade Sail Rectangle Outdoor Canopy UV Block Sunshades for Patio, Square Shade Cloth for Backyard Porch Deck Garden Pergola Cover, Gray",https://www.amazon.com/dp/B094DZM8Y8?tag=aethelgem2026-20,,0
aethelgem:13:115:0,aethelgem,13,Bronson Ginkgo Biloba: Brain Boost or Risky Bet — Is it Worth the Uncertainty?,115,product_card,component,,Bronson Ginkgo Biloba Extra Strength Brain & Memory Support 120 Capsules,https://www.amazon.com/dp/B08PW2XRXK?tag=aethelgem2026-20,,0
aethelgem:14:132:0,aethelgem,14,Clorox Disinfecting Wipes: Are They Too Wet — Or Just Right for Your Cleaning Needs?,132,product_card,component,,"Clorox Disinfecting Wipes Back to School Variety Pack, 75 Count Each, Pack of 4 (Package May Vary)",https://www.amazon.com/dp/B0CYDBCSR7?tag=aethelgem2026-20,,0
aethelgem:15:152:0,aethelgem,15,Royal Dansk Danish Butter Cookies: Are They Still Worth the Price — Or Just a Nostalgia Play?,152,product_card,component,,"Royal Dansk Danish Butter Cookies, Premium Assorted Cookies in Gift Tin, Great for Sharing and Gifting, 12 oz",https://www.amazon.com/dp/B000FNFL0G?tag=aethelgem2026-20,,0
aethelgem:16:172:0,aethelgem,16,"Powermax AA Batteries: Do These ""Ultra Long Lasting"" Cells Deliver Real Value?",172,product_card,component,,"Powermax 24-Count AA Batteries, Ultra Long Lasting Alkaline Battery, 10-Year Shelf Life, Reclosable Packaging",https://www.amazon.com/dp/B0BFFNZLYY?tag=aethelgem2026-20,,0
aethelgem:12:191:0,aethelgem,12,Powermax 24-Count AAA Batteries: Ultra Long Lasting Power with 10-Year Shelf Life — A Reliable Choice?,191,product_card,component,,"Powermax 24-Count Triple AAA Batteries, Ultra Long Lasting Alkaline Battery for Home and Office, 10-Year Shelf Life, Reclosable Packaging",https://www.amazon.com/dp/B0BFFQQHRY?tag=aethelgem2026-20,,0
aethelgem:1625:36460:0,aethelgem,1625,"Cole Haan Women's Grandpro Topspin Court: Style & Comfort, But Check for Quality Control Issues?",36460,product_card,component,,Cole Haan Women's Grandpro Topspin Court,https://www.amazon.com/dp/B08W45X3PJ?tag=aethelgem2026-20,,0
aethelgem:19:342:0,aethelgem,19,Best Jewelry & Watches in 2026: Expert-Tested Picks,342,product_card,component,,"St. Patrick's Day Green Shamrocks Clover Earrings for Women,Good Luck Dangling Earrings,Irish St. Patrick's Day Decorations Accessories.",https://www.amazon.com/dp/B0GC3JX5LQ?tag=aethelgem2026-20,,0
aethelgem:1114:26430:0,aethelgem,1114,WIHOLL Short Sleeve Top: Is 'Dressy Casual' Achievable at This Price Point?,26430,product_card,component,,WIHOLL Womens Tops Summer Outfits 2026 Teacher Fall Clothes Boho Vacation Travel Cruise Essentials Fashion Trendy Short Sleeve T Shirts Clothing Orange Stripes L,https://www.amazon.com/dp/B0FN7QGW7D?tag=aethelgem2026-20,,0
aethelgem:1115:26448:0,aethelgem,1115,JBL Tune 510BT: Bass-Heavy Sound or Build Quality Woes — Is This Budget King Worth It?,26448,product_card,component,,"JBL Tune 510BT - Bluetooth headphones with up to 40 hours battery, microphone for call, foldable and comfortable, Android and iOs compatible (Black)",https://www.amazon.com/dp/B08WM3LMJF?tag=aethelgem2026-20,,0
aethelgem:22:383:0,aethelgem,22,"Garnier Micellar Water: A UK Favourite, But Does It Irritate Sensitive Skin?",383,product_card,component,,"Garnier Micellar Cleansing Water 700ml, Gentle face cleanser & Make up Remover, Suitable For All Skin Types Including Sensitive Skin, Soothing Formula, Dermatologically Tested",https://www.amazon.co.uk/dp/B01M6UUOY2?tag=aethelgem2026-20,,0
aethelgem:18:261:0,aethelgem,18,What's Trending in Jewelry & Watches: March 2026 Report,261,product_card,component,,Casio - Mens Digital Sport Watch (AE1500WH-1AV),https://www.amazon.com/dp/B08VNR3NRW?tag=aethelgem2026-20,,0
aethelgem:18:265:0,aethelgem,18,What's Trending in Jewelry & Watches: March 2026 Report,265,product_card,component,,"Ldurian Custom Name Necklace, Chloe Name Plate Pendant Necklace Pre Gifts, Charm Necklaces Jewelry for Birthday Anniversary",https://www.amazon.com/dp/B08D77QG6H?tag=aethelgem2026-20,,0
aethelgem:18:269:0,aethelgem,18,What's Trending in Jewelry & Watches: March 2026 Report,269,product_card,component,,Silver Nose Hoop Hypoallergenic Nose Rings for Women & Men 18 Gauge 8mm,https://www.amazon.com/dp/B07JJXNH3V?tag=aethelgem2026-20,,0
aethelgem:18:273:0,aethelgem,18,What's Trending in Jewelry & Watches: March 2026 Report,273,product_card,component,,LN LENQIN Mens Watches Military Sport Analog Quartz Watch for Men,https://www.amazon.com/dp/B0CGX3KN95?tag=aethelgem2026-20,,0
aethelgem:18:277:0,aethelgem,18,What's Trending in Jewelry & Watches: March 2026 Report,277,product_card,component,,HUAN XUN Aria Name Necklace Personalized for Women Stainless Steel Pendant Jewelry Gift for Mother Day Birthday Christmas,https://www.amazon.com/dp/B097BQ5598?tag=aethelgem2026-20,,0
aethelgem:18:281:0,aethelgem,18,What's Trending in Jewelry & Watches: March 2026 Report,281,product_card,component,,RONKAHSHOW Audrey Custom Pendant Name Necklace Customized Personalized with Heart Necklace Best Gift for Women New Year Birthday Mother’s day Christmas wedding Party S,https://www.amazon.com/dp/B09HQLB642?tag=aethelgem2026-20,,0
aethelgem:18:285:0,aethelgem,18,What's Trending in Jewelry & Watches: March 2026 Report,285,product_card,component,,"BARTON WATCH BANDS, 18mm Navy - Rally Horween Leather Watch Bands - Integrated quick release spring bars- 316L stainless steel- Choose Strap Color & Width",https://www.amazon.com/dp/B08N5L4DQS?tag=aethelgem2026-20,,0
aethelgem:18:289:0,aethelgem,18,What's Trending in Jewelry & Watches: March 2026 Report,289,product_card,component,,"BINLUN Leather Watch Band Genuine Calfskin Replacement Watch Strap Quick Release Crocodile Pattern 10 Colors 13 Sizes for Men Women（Gold Buckle, White,16MM）",https://www.amazon.com/dp/B08C7MDKB6?tag=aethelgem2026-20,,0
aethelgem:19:306:0,aethelgem,19,Best Jewelry & Watches in 2026: Expert-Tested Picks,306,product_card,component,,Casio Men's MDV106-1AV 200M Black Dive Watch (MDV106-1A),https://www.amazon.com/dp/B009KYJAJY?tag=aethelgem2026-20,,0
aethelgem:19:310:0,aethelgem,19,Best Jewelry & Watches in 2026: Expert-Tested Picks,310,product_card,component,,Casio - Mens Digital Sport Watch (AE1500WH-1AV),https://www.amazon.com/dp/B08VNR3NRW?tag=aethelgem2026-20,,0
aethelgem:19:314:0,aethelgem,19,Best Jewelry & Watches in 2026: Expert-Tested Picks,314,product_card,component,,HUAN XUN Aria Name Necklace Personalized for Women Stainless Steel Pendant Jewelry Gift for Mother Day Birthday Christmas,https://www.amazon.com/dp/B097BQ5598?tag=aethelgem2026-20,,0
aethelgem:19:318:0,aethelgem,19,Best Jewelry & Watches in 2026: Expert-Tested Picks,318,product_card,component,,Silver Nose Hoop Hypoallergenic Nose Rings for Women & Men 18 Gauge 8mm,https://www.amazon.com/dp/B07JJXNH3V?tag=aethelgem2026-20,,0
aethelgem:27:497:0,aethelgem,27,What's Trending in Tech & Digital: March 2026 Report,497,product_card,component,,"1aTTack.de 1,5m - bianco - 10 pezzi - Rete Cavi Cat6a | S-FTP | CAT 6a | doppia schermatura - certificato GHMT | PIMF | 500MHz | 10000 Mbit/s",https://www.amazon.it/dp/B007VDPIMY?tag=aethelgemit-21,,0
