id,site,article_id,article_title,block_id,block_type,slot_type,role,anchor_text,url,regions,protected
hotdeals:10:p1,hotdeals,10,Your Ultimate Guide to Smart Projectors: Unlocking the Big Screen Experience,products[1],product_entry,component,,"[Built-in Apps & 4K Support & Auto Focus]- Smart Projector with WiFi 6 and 2-Way Bluetooth, Dolby Audio/ Auto Keystone/Z",https://www.amazon.com/dp/B0F21KVBHN,us,0
hotdeals:11:p1,hotdeals,11,Your Ultimate Guide to Outdoor Inflatable Projector Screens: Making Movie Nights Magical,products[1],product_entry,component,,"Inflatable Movie Screen Outdoor Projector Screen for Outside 20ft, Blow Up Screens Front and Rear Projection with Air Bl",https://www.amazon.com/dp/B08GYYJW6Q,us,0
hotdeals:12:p1,hotdeals,12,Your Definitive Guide to Choosing Wall Art: Elevate Your Space with Confidence,products[1],product_entry,component,,SIGNWIN Framed Canvas Print Wall Art Rustic Antler Skull Dark Dramatic Black Vintage-Inspired Deer and Elk Antlers Illus,https://www.amazon.com/dp/B0D3PTHG9G,us,0
hotdeals:14:p1,hotdeals,14,Your Ultimate Guide to Buying Appliances: Making Smart Choices Based on Real User Feedback,products[1],product_entry,component,,"Frostorm 3.2 Cu Ft Mini Fridge with Freezer - Energy Efficient, Large Capacity Single Door Upright Freezer for Bedroom, ",https://www.amazon.com/dp/B0FPX6N2MW,us,0
hotdeals:17:p1,hotdeals,17,"Hello Bello Premium Wipes: A Deep Dive into Sensitive Skin Care (Based on 5,227 Reviews)",products[1],product_entry,component,,"Hello Bello Premium Wipes, Designed for Sensitive Skin with Chamomile & Aloe Extracts, Simply Sage (12 Resealable Packet",https://www.amazon.com/dp/B0GP7X9HHP,us,0
hotdeals:13:p1,hotdeals,13,Your Ultimate Buying Guide to Portable Bluetooth Speakers,products[1],product_entry,component,,"JBL Go 4 Portable Bluetooth Wireless Speaker, IP67 Waterproof and Dustproof Built-in Battery - Red -Comprehensive Ultima",https://www.amazon.com/dp/B0DCDKJ89R,us,0
hotdeals:29:p1,hotdeals,29,Best Electronics: Top Picks for Smart Homes and On-the-Go Audio,products[1],product_entry,component,,"Amazon Echo Dot (newest model) - Vibrant sounding speaker, Designed for Alexa+, Great for bedrooms, dining rooms and off",https://www.amazon.com/dp/B09B93ZDG4,us,0
hotdeals:29:p2,hotdeals,29,Best Electronics: Top Picks for Smart Homes and On-the-Go Audio,products[2],product_entry,component,,"Amazon Echo Dot (newest model) - Vibrant sounding speaker, Designed for Alexa+, Great for bedrooms, dining rooms and off",https://www.amazon.com/dp/B09B94RL1R,us,0
hotdeals:29:p3,hotdeals,29,Best Electronics: Top Picks for Smart Homes and On-the-Go Audio,products[3],product_entry,component,,"Anker Soundcore 2 Portable Bluetooth Speaker with Stereo Sound, Bluetooth 5, Bassup, IPX7 Waterproof, 24-Hour Playtime, ",https://www.amazon.com/dp/B0FLD69KFF,us,0
hotdeals:29:p4,hotdeals,29,Best Electronics: Top Picks for Smart Homes and On-the-Go Audio,products[4],product_entry,component,,"Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime",https://www.amazon.com/dp/B0DLKB5V35,us,0
hotdeals:29:p5,hotdeals,29,Best Electronics: Top Picks for Smart Homes and On-the-Go Audio,products[5],product_entry,component,,"JBL Tune 510BT - Bluetooth headphones with up to 40 hours battery, microphone for call, foldable and comfortable, Androi",https://www.amazon.com/dp/B092CP8ZH4,us,0
hotdeals:29:p6,hotdeals,29,Best Electronics: Top Picks for Smart Homes and On-the-Go Audio,products[6],product_entry,component,,"Apple AirTag (1st Generation) - 4 Pack. Keep Track of and find Your Keys, Wallet, Luggage, Backpack, and More. Simple on",https://www.amazon.com/dp/B0D54JZTHY,us,0
hotdeals:48:p1,hotdeals,48,Best Fan Shop: Top 8 College Apparel Picks for Every Fan,products[1],product_entry,component,,Campus Colors Miami (OH) Redhawks Arch & Logo Gameday Hoodie - Red Medium,https://www.amazon.com/dp/B07H8KNTJF,us,0
hotdeals:48:p2,hotdeals,48,Best Fan Shop: Top 8 College Apparel Picks for Every Fan,products[2],product_entry,component,,Campus Colors NCAA Adult Arch & Logo Soft Style Gameday Hooded Sweatshirt - Officially Licensed Product,https://www.amazon.com/dp/B01636DWRM,us,0
hotdeals:48:p3,hotdeals,48,Best Fan Shop: Top 8 College Apparel Picks for Every Fan,products[3],product_entry,component,,Minnesota Golden Gophers Arch & Logo Gameday Hoodie - Maroon Large,https://www.amazon.com/dp/B01636G3A0,us,0
hotdeals:48:p4,hotdeals,48,Best Fan Shop: Top 8 College Apparel Picks for Every Fan,products[4],product_entry,component,,Campus Colors Harvard Crimson Arch & Logo Gameday Hoodie - NCAA College Hooded Sweatshirt - Red X-Large,https://www.amazon.com/dp/B016IQTPUU,us,0
hotdeals:48:p5,hotdeals,48,Best Fan Shop: Top 8 College Apparel Picks for Every Fan,products[5],product_entry,component,,Alabama Crimson Tide Arch & Logo Gameday Hoodie - Crimson Medium,https://www.amazon.com/dp/B00ITWI2CE,us,0
hotdeals:48:p6,hotdeals,48,Best Fan Shop: Top 8 College Apparel Picks for Every Fan,products[6],product_entry,component,,Campus Colors Colorado Buffaloes Arch & Logo Gameday Hoodie - Black Medium,https://www.amazon.com/dp/B01636DW2W,us,0
hotdeals:48:p7,hotdeals,48,Best Fan Shop: Top 8 College Apparel Picks for Every Fan,products[7],product_entry,component,,"UCLA Sweatshirt Fleece Crewneck for Men and Women - Light Blue, Large",https://www.amazon.com/dp/B07QP9HPWG,us,0
hotdeals:48:p8,hotdeals,48,Best Fan Shop: Top 8 College Apparel Picks for Every Fan,products[8],product_entry,component,,"UCSB Sweatshirt Fleece Crewneck for Men and Women - Navy, Small",https://www.amazon.com/dp/B07H8PQWHX,us,0
