id,site,article_id,article_title,block_id,block_type,slot_type,role,anchor_text,url,regions,protected
sandcart:cmrcw1b560000d8dszsm69tu4:sec0:pl,sandcart,cmrcw1b560000d8dszsm69tu4,"Best Portable Fans 2026: Stay Cool Anywhere, Anytime",sec0,section_product_link,internal,,quiet 40dBA brushless motor waist fan,/products/portable-waist-clip-fan-6000mah-100-speed-turbo-cooling-with-1005009338463571,,0
sandcart:cmrstkfbo000004iemkjoo6wl:sec0:pl,sandcart,cmrstkfbo000004iemkjoo6wl,Beauty Essentials for 2026: Expert Picks and Smart Buys,sec0,section_product_link,internal,,Diamond Cone Nail Drill Bit for Cuticle Removal,/products/electric-manicure-drills-cone-diamond-nail-drill-bit-rotary--1005004072471536,,0
sandcart:cmrstkfbo000004iemkjoo6wl:sec1:pl,sandcart,cmrstkfbo000004iemkjoo6wl,Beauty Essentials for 2026: Expert Picks and Smart Buys,sec1,section_product_link,internal,,6-Inch Professional Hair Cutting Shears,/products/titan-professional-6-inch-hair-cut-scissors-cutting-salon-sc-1005004762039252,,0
sandcart:cmrstkfbo000004iemkjoo6wl:sec2:pl,sandcart,cmrstkfbo000004iemkjoo6wl,Beauty Essentials for 2026: Expert Picks and Smart Buys,sec2,section_product_link,internal,,CE Certified 5-Layer FFP2 Face Masks,/products/10-200pcs-mascarillas-fpp2-black-kn95-ce-certified-ffp2-face-1005005358876332,,0
sandcart:cmrstkfbo000004iemkjoo6wl:sec3:pl,sandcart,cmrstkfbo000004iemkjoo6wl,Beauty Essentials for 2026: Expert Picks and Smart Buys,sec3,section_product_link,internal,,Zinc-Free Denture Adhesive Cream,/products/y-kelin-denture-adhesive-cream-10g-0-4oz-sample-size-all-day-1005003154139524,,0
sandcart:cmrn3r2ef000104l4a3z26mgg:sec0:pl,sandcart,cmrn3r2ef000104l4a3z26mgg,Top Electronics Picks for 2026: Performance and Value,sec0,section_product_link,internal,,Baseus EP10 Pro Earbuds with 50dB ANC,/products/baseus-ep10-pro-anc-earbuds-wireless-bluetooth-6-0-earphones-1005008870372901,,0
sandcart:cmrn3r2ef000104l4a3z26mgg:sec1:pl,sandcart,cmrn3r2ef000104l4a3z26mgg,Top Electronics Picks for 2026: Performance and Value,sec1,section_product_link,internal,,WiFi Weather Station with IPS Display,/products/geekmagic-super-cool-mini-wifi-desktop-weather-digital-clock-1005006728045097,,0
sandcart:cmrn3r2ef000104l4a3z26mgg:sec2:pl,sandcart,cmrn3r2ef000104l4a3z26mgg,Top Electronics Picks for 2026: Performance and Value,sec2,section_product_link,internal,,Google Find My Network Item Tracker,/products/navigation-tracker-for-android-phones-work-with-google-find--1005008853205957,,0
sandcart:cms2tk07g000004l4p0ptjpks:sec0:pl,sandcart,cms2tk07g000004l4p0ptjpks,Top 5 Vacation Gear Essentials for 2026: Performance Analysis,sec0,section_product_link,internal,,Lightweight iPhone Protection with Heart Design,/products/phone-case-for-iphone-15-pro-case-for-iphone-11-13-14-17-12--1005005513808233,,0
sandcart:cms2tk07g000004l4p0ptjpks:sec1:pl,sandcart,cms2tk07g000004l4p0ptjpks,Top 5 Vacation Gear Essentials for 2026: Performance Analysis,sec1,section_product_link,internal,,Portable Cuticle Removal Tool,/products/electric-manicure-drills-cone-diamond-nail-drill-bit-rotary--1005004072471536,,0
sandcart:cms2tk07g000004l4p0ptjpks:sec2:pl,sandcart,cms2tk07g000004l4p0ptjpks,Top 5 Vacation Gear Essentials for 2026: Performance Analysis,sec2,section_product_link,internal,,High-Speed USB-C Data Transfer Adapter,/products/new-25cm-usb-3-1-type-c-to-usb-3-0-female-a-female-otg-on-th-1005004619542595,,0
sandcart:cms2tk07g000004l4p0ptjpks:sec3:pl,sandcart,cms2tk07g000004l4p0ptjpks,Top 5 Vacation Gear Essentials for 2026: Performance Analysis,sec3,section_product_link,internal,,Cozy Sweater for Small Travel Companions,/products/autumn-winter-warm-pet-dog-clothes-for-small-dogs-york-terri-1005001798935741,,0
sandcart:cms2tk07g000004l4p0ptjpks:sec4:pl,sandcart,cms2tk07g000004l4p0ptjpks,Top 5 Vacation Gear Essentials for 2026: Performance Analysis,sec4,section_product_link,internal,,Decorative iPhone Cable Strain Relief,/products/cartoon-minnie-mouse-cable-protector-suitable-for-iphone-16--1005011879307584,,0
sandcart:cmrn3q0m0000004l40g9nrvx9:sec0:pl,sandcart,cmrn3q0m0000004l40g9nrvx9,Top Home Essentials for 2026: Practical Picks for Modern Living,sec0,section_product_link,internal,,Versatile Laguiole Butter Knives,/products/3-10pc-laguiole-butter-knives-cheese-spreader-jam-spatula-st-1005003474613652,,0
